STATEA,COUNTYA,naics,EMP_2019,EMP_2022,Growth_Rate
6,105,48----,13,7,-46.15384615384615
6,107,48----,6715,6710,-0.07446016381236038
6,109,48----,92,100,8.695652173913043
6,111,48----,7754,5701,-26.47665720918236
6,113,48----,7696,7329,-4.768711018711018
6,115,48----,416,371,-10.817307692307693
6,999,48----,28542,1639,-94.25758531287227
8,1,48----,26534,21395,-19.36760382904952
8,3,48----,90,112,24.444444444444443
8,5,48----,6425,3979,-38.070038910505836
8,7,48----,28,22,-21.428571428571427
8,9,48----,20,17,-15.0
8,13,48----,1716,1445,-15.792540792540793
8,14,48----,961,369,-61.602497398543186
8,15,48----,88,88,0.0
8,17,48----,30,33,10.0
8,19,48----,62,48,-22.58064516129032
8,21,48----,52,59,13.461538461538462
8,27,48----,22,5,-77.27272727272727
8,29,48----,62,67,8.064516129032258
8,31,48----,33728,30448,-9.724857685009487
8,33,48----,55,17,-69.0909090909091
8,35,48----,2368,1201,-49.2820945945946
8,37,48----,939,1063,13.205537806176784
8,39,48----,76,20,-73.68421052631578
8,41,48----,6120,6063,-0.9313725490196079
8,43,48----,296,291,-1.6891891891891893
8,45,48----,541,571,5.545286506469501
8,47,48----,21,57,171.42857142857142
8,49,48----,198,138,-30.303030303030305
8,51,48----,147,144,-2.0408163265306123
8,55,48----,6,5,-16.666666666666664
8,57,48----,6,6,0.0
8,59,48----,3038,2547,-16.161948650427913
8,61,48----,14,16,14.285714285714285
8,63,48----,38,36,-5.263157894736842
8,67,48----,566,581,2.65017667844523
8,69,48----,3833,2937,-23.375945734411687
8,71,48----,77,150,94.8051948051948
8,73,48----,24,20,-16.666666666666664
8,75,48----,217,226,4.147465437788019
8,77,48----,2356,2251,-4.456706281833616
8,81,48----,73,55,-24.65753424657534
8,83,48----,164,183,11.585365853658537
8,85,48----,706,558,-20.96317280453258
8,87,48----,302,206,-31.788079470198678
8,89,48----,62,60,-3.225806451612903
8,93,48----,19,13,-31.57894736842105
8,95,48----,15,20,33.33333333333333
8,97,48----,532,434,-18.421052631578945
8,99,48----,65,66,1.5384615384615385
8,101,48----,1902,1428,-24.9211356466877
8,103,48----,51,117,129.41176470588235
8,105,48----,24,10,-58.333333333333336
8,107,48----,269,374,39.03345724907063
8,109,48----,36,45,25.0
8,113,48----,39,49,25.64102564102564
8,115,48----,6,13,116.66666666666667
8,117,48----,320,341,6.5625
8,119,48----,43,65,51.162790697674424
8,121,48----,49,61,24.489795918367346
8,123,48----,3031,3026,-0.16496205872649292
8,125,48----,31,44,41.935483870967744
8,999,48----,89,72,-19.101123595505616
10,1,48----,3167,2385,-24.692137669718978
10,3,48----,13244,8360,-36.87707641196013
10,5,48----,2299,3036,32.057416267942585
11,1,48----,2245,4333,93.00668151447663
12,1,48----,3654,3339,-8.620689655172415
12,3,48----,1116,911,-18.369175627240146
12,5,48----,1560,1356,-13.076923076923078
12,7,48----,630,514,-18.412698412698415
12,9,48----,5423,5437,0.25815969020837176
12,11,48----,38794,33105,-14.664638861679641
12,13,48----,86,219,154.6511627906977
12,15,48----,1148,928,-19.16376306620209
12,17,48----,204,135,-33.82352941176471
12,19,48----,1012,840,-16.99604743083004
12,21,48----,2061,1860,-9.75254730713246
12,23,48----,1368,1211,-11.476608187134502
12,27,48----,1219,1228,0.7383100902378998
12,29,48----,60,67,11.666666666666666
12,31,48----,46780,37398,-20.055579307396325
12,33,48----,3889,3267,-15.993828747750063
12,35,48----,225,147,-34.66666666666667
12,37,48----,19,13,-31.57894736842105
12,39,48----,223,276,23.766816143497756
12,41,48----,59,21,-64.40677966101694
12,43,48----,30,27,-10.0
12,45,48----,47,33,-29.78723404255319
12,47,48----,102,142,39.21568627450981
12,49,48----,105,33,-68.57142857142857
12,51,48----,74,108,45.94594594594595
12,53,48----,2127,1670,-21.48566055477198
12,55,48----,236,222,-5.932203389830509
12,57,48----,23379,18493,-20.899097480645025
12,59,48----,30,21,-30.0
12,61,48----,937,837,-10.672358591248667
12,63,48----,1165,1025,-12.017167381974248
12,65,48----,96,109,13.541666666666666
12,67,48----,54,64,18.51851851851852
12,69,48----,3421,2481,-27.47734580532008
12,71,48----,8397,5887,-29.89162796236751
12,73,48----,1331,1457,9.466566491359881
12,75,48----,129,148,14.728682170542637
12,77,48----,61,41,-32.78688524590164
12,79,48----,90,110,22.22222222222222
12,81,48----,4579,3118,-31.906529810002183
12,83,48----,5673,3619,-36.2065926317645
12,85,48----,2762,2565,-7.132512671976829
12,86,48----,71342,70515,-1.1592049564071654
12,87,48----,1386,1063,-23.304473304473305
12,89,48----,419,338,-19.331742243436754
12,91,48----,2046,1502,-26.588465298142715
12,93,48----,311,348,11.89710610932476
12,95,48----,41954,36763,-12.373075272917959
